Designator,Mid X,Mid Y,Rotation,Layer
C1,40.6400,12.4460,90,T
C2,58.4200,5.0800,180,T
C3,71.1200,27.9400,180,T
C4,67.3100,20.3200,270,T
D1,76.2000,10.1600,270,T
D2,72.3900,10.1600,90,T
D3,68.5800,10.1600,270,T
D4,80.0100,10.1600,90,T
D6,83.8200,12.7000,270,T
I2C,30.4800,21.5900,180,T
IC1,45.7200,30.4800,180,T
JMP1,40.6400,26.6700,90,T
JP1,59.6900,19.0500,270,T
L1,86.2330,26.6700,225,T
PIEZO_GR,53.3400,17.7800,90,T
PIEZO_KL,50.8000,17.6530,90,T
R1,64.7700,10.1600,90,T
R2,93.9800,25.4000,270,T
R3,97.7900,25.4000,90,T
R4,92.7100,17.7800,0,T
R5,36.8800,19.8700,180,T
R6,11.7000,25.7500,0,T
U$1,93.4100,11.4300,0,T
U$5,97.1550,5.7150,0,T
U4,76.2000,20.3200,270,T
