Reference,Qty,Value,Package,Part Number
C1,1,100uF/16V,"Through Hole,D6.3xL9mm,P=2.5mm on 2.03mm land",16SEPC100MW
C2,1,10nF/100V,"Through Hole,P=5mm",MKP2D021001B00KSSD
C3,1,100nF/630V,"Through Hole,P=15mm",R76PI31005050J
C4,1,100pF/1000V,"Through Hole,P=5mm",FKP2O101001D00JSSD
"D1,D2",2,ZY200,DO-41,ZY200
D3,1,BZX79-B3V3 (board value: BZX55),DO-35 body in DO-41 land,"BZX79-B3V3,133"
D4,1,BYV26E (Glas),DO-41,BYV26E
D6,1,GP10Y,DO-41,GP10Y
J1,1,I2C 5V,Connector_JST:JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,PH-4P
J2,1,I2C 3V3,Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,SM04B-SRSS-TB(LF)(SN)
J3,1,GND wire loop (tube cathode return),"Test point loop,D1.8mm,Drill1.0mm",
L1,1,150mH,"Through Hole,P=5mm",11P-154J-50
PIEZO_KL1,1,PIEPSER_small,"Through Hole,P=7.62mm",CPT-1495CI-300
R1,1,10k (pulse - keep UXB),"Axial 0207,P=10.16mm",UXB02070F1002AR100
"R6,R7",2,10k I2C pull-ups (any 2k2-10k),"Axial 0207,P=10.16mm",UXB02070F1002AR100
"R2,R5",2,1M,"Axial 0207,P=10.16mm",RNV14FAL1M00
"R3,R4",2,4M7 (Si22G; 2M7 for SBM-19/20),"Axial 0207,P=10.16mm",RNV14FAL4M70
SBM-19/20,2,Tube holder clip (1 on PCB + 1 flying to J3),"Fuse clip 6.3x32,THT,P=7.62mm",8040.0003
U1,1,BSP125H6327,SOT223,BSP125H6327
U2,1,FeatherS3-D socket,"2x THT female header,P=2.54mm",Feather S3/S3-D
