Designator,Mid X,Mid Y,Rotation,Layer
C1,146.916196,-142.14757,-90,T
C2,188.716196,-146.38757,-90,T
C3,194.116196,-126.54757,180,T
C4,188.716196,-132.94757,180,T
D1,203.116196,-144.14757,-90,T
D2,200.116196,-144.24757,90,T
D3,196.716196,-144.14757,-90,T
D4,206.516196,-144.14757,90,T
D6,210.116196,-144.14757,-90,T
J1,106.216196,-143.79757,-90,T
J2,104.291196,-131.34757,-90,T
J3,218.816196,-149.64757,0,T
L1,209.976196,-128.64757,0,T
PIEZO_KL1,166.716196,-137.45757,90,T
R1,193.116196,-144.24757,-90,T
R2,217.916196,-128.44757,90,T
R3,221.216196,-128.46757,-90,T
R4,217.716196,-137.24757,0,T
R5,180.716196,-128.42757,-90,T
R6,129.396196,-137.24757,180,T
R7,129.396196,-139.84757,0,T
U1,197.916196,-134.14757,-90,T
U2,141.636196,-148.20757,180,T
