Reference,Qty,Value,Package,Part Number
C1,1,100uF,"Through Hole,D6.3xL9mm",16SEPC100MW
C2,1,10nF,"Through Hole,P=5mm",MKP2D021001B00KSSD
C3,1,100nF,"Through Hole,P=15mm",R75PI3100AA30J
C4,1,100pF,"Through Hole,P=5mm",FKP2O101001D00JSSD
"D1,D2",2,ZY200,DO-41,ZY200
D3,1,BZX55,DO-42,BZX55
D4,1,BYV26E (Glas),DO-43,BYV26E (Glas)
D5,1,GP10Y,DO-44,GP10Y
J1,1,I2C 5V,Connector_JST:JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,PH-4P
J2,1,I2C 3V3,Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,SM04B-SRSS-TB(LF)(SN)
L1,1,150mH,THT,11P-154J-50
"R1,R6,R7",3,10K,THT,Vishay UXB series 
"R2,R5",2,1M,THT,MFR-25FBF52-1M
"R3,R4",2,4M7,THT,MFR-25FBF52-4M7
U1,1,XIAO ESP32-S3 / Adafruit 5395,THT,XIAO ESP32-S3 / Adafruit 5395
U3,1,BSP125,SMD,BSP125
